,10,100,150,200,25,250,300,5,50,full-sampling
Cluster_12-CrossR-Replica_2,999.0,-1.00857,-1.007497,-0.913324,-1.226968,-0.849612,-0.942858,999.0,-0.641785,-0.92407
Cluster_12-CrossR-Replica_3,999.0,-1.07142,-0.939522,-1.049121,-0.614098,-0.713033,-0.888318,999.0,-0.645742,-0.92407
Cluster_12-CrossR-Replica_4,-0.211526,-0.718207,-0.943205,-0.915561,-0.827425,-0.932252,-0.791783,999.0,-0.986122,-0.92407
Cluster_12-CrossR-Replica_5,-0.261845,-0.755773,-0.680085,-0.968155,0.345969,-1.003673,-0.934322,-0.741995,-0.826801,-0.92407
Cluster_12-CrossR-Replica_6,-0.675275,-0.755269,-0.957706,-0.886826,-0.963813,-0.943494,-1.206738,0.203689,-0.651766,-0.92407
Cluster_12-CrossR-Replica_7,-0.503521,-0.960688,-0.679948,-0.739831,-0.466996,-0.88564,-0.877769,999.0,-0.569828,-0.92407
Cluster_12-CrossR-Replica_8,-0.261767,-0.595647,-0.992815,-1.03782,0.39083,-0.839876,-0.868988,-0.740728,-0.649102,-0.92407
Cluster_12-CrossR-Replica_9,999.0,-0.677564,-0.940161,-1.00374,-0.053516,-0.741273,-1.056382,-0.569963,-0.648846,-0.92407
Cluster_13-CrossR-Replica_1,-0.26155,-0.716587,-0.732588,-0.790978,-0.481096,-1.023651,-0.679728,-0.741914,-0.638512,-0.92407
Cluster_13-CrossR-Replica_10,-0.626682,-0.907137,-0.885825,-0.809899,-0.736269,-0.742301,-0.868976,999.0,-0.978206,-0.92407
Cluster_13-CrossR-Replica_2,999.0,-0.680654,-0.757876,-1.02662,-1.342716,-0.811137,-0.846492,-0.329525,-0.47028,-0.92407
Cluster_13-CrossR-Replica_3,999.0,-0.906728,-0.989932,-0.978903,-1.027326,-0.743612,-0.99538,-0.328213,-0.71596,-0.92407
Cluster_13-CrossR-Replica_4,999.0,-0.820658,-0.868589,-0.901533,-1.148753,-0.984125,-1.048598,999.0,-0.785531,-0.92407
Cluster_13-CrossR-Replica_5,-0.808102,-0.640024,-1.119812,-0.659377,-0.308981,-0.550687,-0.960822,0.08446,-0.636951,-0.92407
Cluster_13-CrossR-Replica_6,999.0,-0.49575,-1.080424,-0.942323,-0.480367,-0.799723,-0.837692,-0.451261,-0.784795,-0.92407
Cluster_13-CrossR-Replica_7,-0.675026,-0.54746,-1.051077,-0.929681,-0.708719,-0.824125,-0.994687,-0.327322,-0.891157,-0.92407
Cluster_13-CrossR-Replica_8,-1.008615,-0.719433,-0.682887,-0.678337,-0.435625,-0.786849,-0.879008,999.0,-1.224446,-0.92407
Cluster_13-CrossR-Replica_9,-0.503837,-0.878156,-0.845335,-0.658074,0.359711,-1.057613,-0.744442,999.0,-0.781875,-0.92407
Cluster_14-CrossR-Replica_1,-0.9165,-1.071128,-0.865618,0.018683,999.0,-0.944045,-0.793025,999.0,999.0,-0.914679
Cluster_14-CrossR-Replica_10,999.0,-1.111587,-0.624557,-1.062561,999.0,-0.462103,-0.837865,999.0,-1.323871,-0.914679
Cluster_14-CrossR-Replica_2,999.0,-1.132356,-0.624847,-1.404422,-1.342716,-0.770006,-0.463844,-1.345829,999.0,-0.914679
Cluster_14-CrossR-Replica_3,999.0,-1.359277,-0.366367,-0.635893,999.0,-0.413705,-0.858251,-1.154668,0.180713,-0.914679
Cluster_14-CrossR-Replica_4,-1.037981,-0.133475,-0.925409,-1.017281,999.0,-1.04991,-0.968995,999.0,-0.652501,-0.914679
Cluster_14-CrossR-Replica_5,-1.53767,-1.074172,-0.756294,-1.03978,0.345969,-1.013212,-0.952117,999.0,0.602732,-0.914679
Cluster_14-CrossR-Replica_6,0.15118,-0.49575,-0.904283,-0.775218,-1.083445,-0.551187,-0.804868,999.0,0.587917,-0.914679
Cluster_14-CrossR-Replica_7,0.151429,-0.595178,-0.939466,-0.660225,999.0,-0.824125,-0.74474,999.0,999.0,-0.914679
Cluster_14-CrossR-Replica_8,999.0,-0.306206,-0.942405,1.329114,-0.677347,-0.680922,-1.297184,999.0,-0.649102,-0.914679
Cluster_14-CrossR-Replica_9,999.0,-1.005481,-0.707144,-0.791104,-0.466744,-0.952416,-1.105798,999.0,-1.729316,-0.914679
Cluster_15-CrossR-Replica_1,999.0,-1.028527,-0.680715,-0.540677,0.345359,-1.118206,-0.970236,999.0,-0.828361,-0.914679
Cluster_15-CrossR-Replica_10,999.0,0.109168,-0.95818,-1.029122,-0.081319,-1.031742,-0.733415,999.0,-0.47308,-0.914679
Cluster_15-CrossR-Replica_2,999.0,-0.595342,-0.781259,-0.737179,-0.066891,-0.725826,-0.933891,999.0,-1.366953,-0.914679
Cluster_15-CrossR-Replica_3,-0.263145,-1.050499,-1.051133,-0.73718,-0.614098,-0.772699,-0.665826,999.0,-1.191999,-0.914679
Cluster_15-CrossR-Replica_4,-0.211526,-0.638601,-1.025,-0.79284,-0.735526,-0.953546,-0.57256,-0.329138,-0.894224,-0.914679
Cluster_15-CrossR-Replica_5,-0.808102,-0.548126,-0.844777,-0.637696,-0.308981,-0.81262,-0.756765,0.08446,-0.356753,-0.914679
Cluster_15-CrossR-Replica_6,999.0,-0.595341,-1.133454,-0.75742,0.346088,-1.117655,-0.637101,0.203689,-0.572159,-0.914679
Cluster_15-CrossR-Replica_7,0.151429,-1.030905,-0.884396,-1.00589,-0.295491,-0.941396,-0.650767,999.0,-1.165112,-0.914679
Cluster_15-CrossR-Replica_8,999.0,-0.852463,-0.709388,-1.131324,999.0,-1.301797,-1.012038,999.0,-0.368904,-0.914679
Cluster_15-CrossR-Replica_9,-1.08857,-0.37303,-0.756853,-0.807898,-0.295239,-0.982995,-1.048975,-0.569963,-0.781875,-0.914679
Cluster_16-CrossR-Replica_1,0.151677,-0.223753,-1.158107,-0.99157,-0.614125,-1.050961,-0.539726,-0.328687,-1.087881,-0.895449
Cluster_16-CrossR-Replica_10,999.0,-0.637681,-0.561745,-1.051622,-0.323041,-0.590344,-0.935816,999.0,-1.323871,-0.895449
Cluster_16-CrossR-Replica_2,-0.262578,0.520553,-0.148808,-0.613393,0.346336,-1.327512,-0.942858,999.0,-1.344454,-0.895449
Cluster_16-CrossR-Replica_3,999.0,-0.303651,-0.884452,-0.590012,-0.067841,-1.330205,-0.99538,0.085015,-1.325029,-0.895449
Cluster_16-CrossR-Replica_4,999.0,-1.201652,-0.925409,-0.825968,-0.493803,-0.232287,-1.091713,999.0,-0.842351,-0.895449
Cluster_16-CrossR-Replica_5,0.151382,-0.640024,-1.051215,-0.915128,-1.923416,-0.462204,-0.934322,-1.7583,-0.707169,-0.895449
Cluster_16-CrossR-Replica_6,999.0,-0.680652,-0.148044,-0.659469,-0.06714,-0.826223,-0.898369,999.0,0.587917,-0.895449
Cluster_16-CrossR-Replica_7,999.0,-0.718965,-0.266721,-1.293494,-0.708719,-0.43627,-1.217043,0.085906,-0.064702,-0.895449
Cluster_16-CrossR-Replica_8,999.0,-0.439235,-0.804978,-0.657417,-0.769246,-1.193104,-1.206923,999.0,-0.649102,-0.895449
Cluster_16-CrossR-Replica_9,999.0,-1.483809,-1.226899,-1.169253,-0.053516,-1.231305,-0.857261,999.0,-0.648846,-0.895449
Cluster_17-CrossR-Replica_1,999.0,-0.493209,-0.780307,-1.112307,-0.614125,-0.72836,-0.897882,999.0,-1.184769,-0.885593
Cluster_17-CrossR-Replica_10,0.199773,-0.933637,-0.411921,-0.720754,-0.081319,-0.898712,-0.848417,999.0,-1.019337,-0.885593
Cluster_17-CrossR-Replica_2,0.150649,-1.00857,-0.866569,-1.02662,-0.480119,-0.71034,-0.960392,-0.571247,-0.361587,-0.885593
Cluster_17-CrossR-Replica_3,-0.676372,-1.09163,-0.903383,-0.698705,-1.183737,-0.864598,-0.858251,0.085015,-0.645742,-0.885593
Cluster_17-CrossR-Replica_4,0.201701,-0.679732,-1.040092,-0.929266,-0.735526,-0.984125,-0.780207,999.0,-1.065729,-0.885593
Cluster_17-CrossR-Replica_5,-1.008694,-0.881747,-0.731958,-0.792407,-1.135436,-0.984125,-0.803546,999.0,-0.465446,-0.885593
Cluster_17-CrossR-Replica_6,999.0,-0.935478,-0.922626,-0.615289,-1.227216,-1.023101,-0.707318,999.0,-0.480261,-0.885593
Cluster_17-CrossR-Replica_7,999.0,-0.851995,-0.989876,-0.929681,-0.466996,-0.783919,-0.803814,-0.569044,-1.098804,-0.885593
Cluster_17-CrossR-Replica_8,0.151461,-0.821884,-0.942405,-0.698548,0.39083,-0.728641,-0.782121,999.0,-0.982724,-0.885593
Cluster_17-CrossR-Replica_9,999.0,-0.131307,-1.107268,-0.791104,999.0,-0.811491,-0.960792,-0.32824,-0.781875,-0.885593
Cluster_18-CrossR-Replica_1,-0.26155,-0.223753,-1.022029,-0.824107,-0.481096,-0.954597,-0.952951,0.084541,-1.121957,-0.885593
Cluster_18-CrossR-Replica_10,-0.213455,-1.166657,-0.73325,-1.029122,-0.627576,-0.742301,-1.093614,999.0,-0.564978,-0.885593
