,5,10,25,50,100,150,200,300,400,500,600
Cluster_0-CrossR-Replica_1,0.003,0.0055,0.0062,0.0123,0.0092,0.0073,0.00845,0.0081,0.008125,0.00816,0.008175
Cluster_0-CrossR-Replica_2,0.002,0.005,0.0072,0.0061,0.0097,0.008,0.008975,0.00865,0.008525,0.00756,0.008175
Cluster_0-CrossR-Replica_3,0.003,0.005,0.014,0.0065,0.0057,0.00786667,0.00745,0.0081,0.007775,0.00809,0.008175
Cluster_0-CrossR-Replica_4,0.014,0.0035,0.0074,0.0092,0.00745,0.0089,0.009125,0.00818333,0.0078125,0.00817,0.008175
Cluster_0-CrossR-Replica_5,0.013,0.0105,0.004,0.0054,0.00855,0.00793333,0.0081,0.00778333,0.008075,0.00828,0.008175
